grup;vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
TK125010000031;DPE;CBHU5914130;20;D003;2025-01-23;2025-05-26;4;"23 april 2025 - 22 mei 2025";Bulanan;750000;687500;82500;15000;817500;;5
TK125010000032;DPE;CBHU5914130;20;D003;2025-01-23;2025-05-26;5;"23 mei 2025 - 26 mei 2025";Harian;100000;91667;11000;2000;109000;;5
TK125010000033;DPE;CSLU1004045;20;D003;2025-01-23;2025-04-09;1;"23 januari 2025 - 22 februari 2025";Bulanan;775000;710417;85250;15500;844750;;3
TK125010000034;DPE;CSLU1004045;20;D003;2025-01-23;2025-04-09;2;"23 februari 2025 - 22 maret 2025";Bulanan;700000;641667;77000;14000;763000;;3
TK125010000035;DPE;CSLU1004045;20;D003;2025-01-23;2025-04-09;3;"23 maret 2025 - 9 april 2025";Harian;450000;412500;49500;9000;490500;;3
TK125010000036;DPE;CBHU5911444;20;D004;2025-01-24;;1;"24 januari 2025 - 23 februari 2025";Bulanan;775000;710417;85250;15500;844750;;8
TK125010000037;DPE;CBHU5911444;20;D004;2025-01-24;;2;"24 februari 2025 - 23 maret 2025";Bulanan;700000;641667;77000;14000;763000;;8
TK125010000038;DPE;CBHU5911444;20;D004;2025-01-24;;3;"24 maret 2025 - 23 april 2025";Bulanan;775000;710417;85250;15500;844750;;8
TK125010000039;DPE;CBHU5911444;20;D004;2025-01-24;;4;"24 april 2025 - 23 mei 2025";Bulanan;750000;687500;82500;15000;817500;;8
TK125010000040;DPE;CBHU5911444;20;D004;2025-01-24;;5;"24 mei 2025 - 23 juni 2025";Bulanan;775000;710417;85250;15500;844750;;8
TK125010000041;DPE;CBHU5911444;20;D004;2025-01-24;;6;"24 juni 2025 - 23 juli 2025";Bulanan;750000;687500;82500;15000;817500;;8
TK125010000042;DPE;CBHU5911444;20;D004;2025-01-24;;7;"24 juli 2025 - 23 agustus 2025";Bulanan;775000;710417;85250;15500;844750;;8
TK125010000043;DPE;CBHU5911444;20;D004;2025-01-24;;8;"24 agustus 2025 - 23 september 2025";Bulanan;775000;710417;85250;15500;844750;;8
TK125010000044;DPE;CBHU3952697;20;D004;2025-01-24;2025-04-09;1;"24 januari 2025 - 23 februari 2025";Bulanan;775000;710417;85250;15500;844750;;3
TK125010000045;DPE;CBHU3952697;20;D004;2025-01-24;2025-04-09;2;"24 februari 2025 - 23 maret 2025";Bulanan;700000;641667;77000;14000;763000;;3
TK125010000046;DPE;CBHU3952697;20;D004;2025-01-24;2025-04-09;3;"24 maret 2025 - 9 april 2025";Harian;425000;389583;46750;8500;463250;;3
TK125010000047;DPE;CSLU1247770;20;D004;2025-01-24;2025-06-23;1;"24 januari 2025 - 23 februari 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000048;DPE;CSLU1247770;20;D004;2025-01-24;2025-06-23;2;"24 februari 2025 - 23 maret 2025";Bulanan;700000;641667;77000;14000;763000;;5
TK125010000049;DPE;CSLU1247770;20;D004;2025-01-24;2025-06-23;3;"24 maret 2025 - 23 april 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000050;DPE;CSLU1247770;20;D004;2025-01-24;2025-06-23;4;"24 april 2025 - 23 mei 2025";Bulanan;750000;687500;82500;15000;817500;;5
TK125010000051;DPE;CSLU1247770;20;D004;2025-01-24;2025-06-23;5;"24 mei 2025 - 23 juni 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000052;DPE;CXDU1108080;20;D004;2025-01-24;2025-04-10;1;"24 januari 2025 - 23 februari 2025";Bulanan;775000;710417;85250;15500;844750;;3
TK125010000053;DPE;CXDU1108080;20;D004;2025-01-24;2025-04-10;2;"24 februari 2025 - 23 maret 2025";Bulanan;700000;641667;77000;14000;763000;;3
TK125010000054;DPE;CXDU1108080;20;D004;2025-01-24;2025-04-10;3;"24 maret 2025 - 10 april 2025";Harian;450000;412500;49500;9000;490500;;3
TK125010000055;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;1;"7 januari 2025 - 6 februari 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000056;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;2;"7 februari 2025 - 6 maret 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000057;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;3;"7 maret 2025 - 6 april 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000058;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;4;"7 april 2025 - 6 mei 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000059;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;5;"7 mei 2025 - 6 juni 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000060;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;6;"7 juni 2025 - 6 juli 2025";Bulanan;1261261;1156156;138739;25225;1374774;;7
TK125010000061;ZONA;EMSU9871692;40;Z009;2025-01-07;2025-07-22;7;"7 juli 2025 - 22 juli 2025";Harian;672672;616616;73994;13453;733212;;7
TK125010000062;ZONA;MSCU3213686;20;Z010;2025-01-21;2025-04-08;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000063;ZONA;MSCU3213686;20;Z010;2025-01-21;2025-04-08;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000064;ZONA;MSCU3213686;20;Z010;2025-01-21;2025-04-08;3;"21 maret 2025 - 8 april 2025";Harian;427918;392258;47071;8558;466431;;3
TK125010000065;ZONA;TGHU3222626;20;Z010;2025-01-21;2025-04-08;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000066;ZONA;TGHU3222626;20;Z010;2025-01-21;2025-04-08;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000067;ZONA;TGHU3222626;20;Z010;2025-01-21;2025-04-08;3;"21 maret 2025 - 8 april 2025";Harian;427918;392258;47071;8558;466431;;3
TK125010000068;ZONA;CXDU1108921;20;Z010;2025-01-21;2025-04-08;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000069;ZONA;CXDU1108921;20;Z010;2025-01-21;2025-04-08;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000070;ZONA;CXDU1108921;20;Z010;2025-01-21;2025-04-08;3;"21 maret 2025 - 8 april 2025";Harian;427918;392258;47071;8558;466431;;3
TK125010000071;ZONA;CXDU1212730;20;Z010;2025-01-21;2025-06-18;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000072;ZONA;CXDU1212730;20;Z010;2025-01-21;2025-06-18;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000073;ZONA;CXDU1212730;20;Z010;2025-01-21;2025-06-18;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000074;ZONA;CXDU1212730;20;Z010;2025-01-21;2025-06-18;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000075;ZONA;CXDU1212730;20;Z010;2025-01-21;2025-06-18;5;"21 mei 2025 - 18 juni 2025";Harian;653138;598710;71845;13063;711920;;5
TK125010000076;ZONA;GESU1386736;20;Z010;2025-01-21;2025-06-04;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000077;ZONA;GESU1386736;20;Z010;2025-01-21;2025-06-04;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000078;ZONA;GESU1386736;20;Z010;2025-01-21;2025-06-04;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000079;ZONA;GESU1386736;20;Z010;2025-01-21;2025-06-04;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000080;ZONA;GESU1386736;20;Z010;2025-01-21;2025-06-04;5;"21 mei 2025 - 4 juni 2025";Harian;337830;309678;37161;6757;368235;;5
TK125010000081;ZONA;HALU3509311;20;Z010;2025-01-21;2025-05-26;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000082;ZONA;HALU3509311;20;Z010;2025-01-21;2025-05-26;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000083;ZONA;HALU3509311;20;Z010;2025-01-21;2025-05-26;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000084;ZONA;HALU3509311;20;Z010;2025-01-21;2025-05-26;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000085;ZONA;HALU3509311;20;Z010;2025-01-21;2025-05-26;5;"21 mei 2025 - 26 mei 2025";Harian;135132;123871;14865;2703;147294;;5
TK125010000086;ZONA;DFSU2296934;20;Z010;2025-01-21;2025-04-07;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000087;ZONA;DFSU2296934;20;Z010;2025-01-21;2025-04-07;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000088;ZONA;DFSU2296934;20;Z010;2025-01-21;2025-04-07;3;"21 maret 2025 - 7 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000089;ZONA;CBHU4034438;20;Z010;2025-01-21;2025-06-01;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000090;ZONA;CBHU4034438;20;Z010;2025-01-21;2025-06-01;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000091;ZONA;CBHU4034438;20;Z010;2025-01-21;2025-06-01;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000092;ZONA;CBHU4034438;20;Z010;2025-01-21;2025-06-01;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000093;ZONA;CBHU4034438;20;Z010;2025-01-21;2025-06-01;5;"21 mei 2025 - 1 juni 2025";Harian;270264;247742;29729;5405;294588;;5
TK125010000094;ZONA;TEMU2353770;20;Z010;2025-01-21;2025-04-07;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000095;ZONA;TEMU2353770;20;Z010;2025-01-21;2025-04-07;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000096;ZONA;TEMU2353770;20;Z010;2025-01-21;2025-04-07;3;"21 maret 2025 - 7 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000097;ZONA;TGHU1246275;20;Z010;2025-01-21;2025-06-13;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000098;ZONA;TGHU1246275;20;Z010;2025-01-21;2025-06-13;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000099;ZONA;TGHU1246275;20;Z010;2025-01-21;2025-06-13;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000100;ZONA;TGHU1246275;20;Z010;2025-01-21;2025-06-13;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000101;ZONA;TGHU1246275;20;Z010;2025-01-21;2025-06-13;5;"21 mei 2025 - 13 juni 2025";Harian;540528;495484;59458;10811;589176;;5
TK125010000102;ZONA;CLHU3586854;20;Z010;2025-01-21;2025-04-07;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000103;ZONA;CLHU3586854;20;Z010;2025-01-21;2025-04-07;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000104;ZONA;CLHU3586854;20;Z010;2025-01-21;2025-04-07;3;"21 maret 2025 - 7 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000105;ZONA;GESU1449670;20;Z010;2025-01-21;2025-04-07;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000106;ZONA;GESU1449670;20;Z010;2025-01-21;2025-04-07;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000107;ZONA;GESU1449670;20;Z010;2025-01-21;2025-04-07;3;"21 maret 2025 - 7 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000108;ZONA;ILSU2019602;20;Z010;2025-01-21;2025-04-07;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000109;ZONA;ILSU2019602;20;Z010;2025-01-21;2025-04-07;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000110;ZONA;ILSU2019602;20;Z010;2025-01-21;2025-04-07;3;"21 maret 2025 - 7 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000111;ZONA;GATU1019864;20;Z010;2025-01-21;2025-06-17;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000112;ZONA;GATU1019864;20;Z010;2025-01-21;2025-06-17;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000113;ZONA;GATU1019864;20;Z010;2025-01-21;2025-06-17;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000114;ZONA;GATU1019864;20;Z010;2025-01-21;2025-06-17;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000115;ZONA;GATU1019864;20;Z010;2025-01-21;2025-06-17;5;"21 mei 2025 - 17 juni 2025";Harian;630616;578065;69368;12612;687371;;5
TK125010000116;ZONA;APZU3960241;20;Z010;2025-01-21;2025-05-25;1;"21 januari 2025 - 20 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000117;ZONA;APZU3960241;20;Z010;2025-01-21;2025-05-25;2;"21 februari 2025 - 20 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000118;ZONA;APZU3960241;20;Z010;2025-01-21;2025-05-25;3;"21 maret 2025 - 20 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000119;ZONA;APZU3960241;20;Z010;2025-01-21;2025-05-25;4;"21 april 2025 - 20 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000120;ZONA;APZU3960241;20;Z010;2025-01-21;2025-05-25;5;"21 mei 2025 - 25 mei 2025";Harian;112610;103226;12387;2252;122745;;5
TK125010000121;ZONA;ZONA9017621;20;Z011;2025-01-22;2025-05-05;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000122;ZONA;ZONA9017621;20;Z011;2025-01-22;2025-05-05;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000123;ZONA;ZONA9017621;20;Z011;2025-01-22;2025-05-05;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000124;ZONA;ZONA9017621;20;Z011;2025-01-22;2025-05-05;4;"22 april 2025 - 5 mei 2025";Harian;315308;289032;34684;6306;343686;;4
TK125010000125;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000126;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000127;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000128;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000129;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;5;"22 mei 2025 - 21 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000130;ZONA;SCMU2082204;20;Z011;2025-01-22;2025-07-05;6;"22 juni 2025 - 5 juli 2025";Harian;315308;289032;34684;6306;343686;;6
TK125010000131;ZONA;ZONA2875892;20;Z011;2025-01-22;2025-04-08;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000132;ZONA;ZONA2875892;20;Z011;2025-01-22;2025-04-08;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000133;ZONA;ZONA2875892;20;Z011;2025-01-22;2025-04-08;3;"22 maret 2025 - 8 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000134;ZONA;CLHU3602235;20;Z011;2025-01-22;2025-04-08;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000135;ZONA;CLHU3602235;20;Z011;2025-01-22;2025-04-08;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000136;ZONA;CLHU3602235;20;Z011;2025-01-22;2025-04-08;3;"22 maret 2025 - 8 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000137;ZONA;TEMU2666500;20;Z011;2025-01-22;2025-05-26;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000138;ZONA;TEMU2666500;20;Z011;2025-01-22;2025-05-26;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000139;ZONA;TEMU2666500;20;Z011;2025-01-22;2025-05-26;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000140;ZONA;TEMU2666500;20;Z011;2025-01-22;2025-05-26;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000141;ZONA;TEMU2666500;20;Z011;2025-01-22;2025-05-26;5;"22 mei 2025 - 26 mei 2025";Harian;112610;103226;12387;2252;122745;;5
TK125010000142;ZONA;ZONA5229290;20;Z011;2025-01-22;2025-04-08;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000143;ZONA;ZONA5229290;20;Z011;2025-01-22;2025-04-08;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000144;ZONA;ZONA5229290;20;Z011;2025-01-22;2025-04-08;3;"22 maret 2025 - 8 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000145;ZONA;ZONA2862339;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000146;ZONA;ZONA2862339;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000147;ZONA;ZONA2862339;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000148;ZONA;BMOU4175420;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000149;ZONA;BMOU4175420;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000150;ZONA;BMOU4175420;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000151;ZONA;ZONA2004243;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000152;ZONA;ZONA2004243;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000153;ZONA;ZONA2004243;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000154;ZONA;GESU3600488;20;Z011;2025-01-22;2025-06-01;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000155;ZONA;GESU3600488;20;Z011;2025-01-22;2025-06-01;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000156;ZONA;GESU3600488;20;Z011;2025-01-22;2025-06-01;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000157;ZONA;GESU3600488;20;Z011;2025-01-22;2025-06-01;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000158;ZONA;GESU3600488;20;Z011;2025-01-22;2025-06-01;5;"22 mei 2025 - 1 juni 2025";Harian;247742;227097;27252;4955;270039;;5
TK125010000159;ZONA;SEGU1003148;20;Z011;2025-01-22;2025-05-31;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000160;ZONA;SEGU1003148;20;Z011;2025-01-22;2025-05-31;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000161;ZONA;SEGU1003148;20;Z011;2025-01-22;2025-05-31;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000162;ZONA;SEGU1003148;20;Z011;2025-01-22;2025-05-31;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000163;ZONA;SEGU1003148;20;Z011;2025-01-22;2025-05-31;5;"22 mei 2025 - 31 mei 2025";Harian;225220;206452;24774;4504;245490;;5
TK125010000164;ZONA;MOTU0745826;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000165;ZONA;MOTU0745826;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000166;ZONA;MOTU0745826;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
