KONTAINER;PERIODE;AWAL;AKHIR; TAGIHAN ;NoTagihan;Tgl. Tagihan;No. Bayar;Tgl. Bayar;;;;;Impor;Pranota;Bayar
APHU6256249;2;08 Feb 24;07 Mar 24; 1.261.261,00 ;ZONA240322927;20 Mar 24;EBK240500055;21 May 24;;;;;"APHU6256249;2;45330;45358;1261261;ZONA240322927;45371";"ZONA240322927;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
APHU6256249;4;08 Apr 24;24 Apr 24; 714.715,00 ;ZONA240523407;03 May 24;EBK240500209;20 May 24;;;;;"APHU6256249;4;45390;45406;714715;ZONA240523407;45415";"ZONA240523407;45415;SKT2405000001;45432;714715";"SKT2405000001;45432;EBK240500209;45432;714715"
APZU3907870;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"APZU3907870;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
AXIU8464299;2;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528249;21 May 25;EBK250600289;26 Jun 25;;;;;"AXIU8464299;2;45768;45797;675676;ZONA250528249;45798";"ZONA250528249;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
BMOU2470200;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"BMOU2470200;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
BMOU2484919;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"BMOU2484919;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
BMOU2717179;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"BMOU2717179;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
BMOU4192536;11;10 Apr 25;09 May 25; 1.261.261,00 ;ZONA250427908;29 Apr 25;EBK250600289;26 Jun 25;;;;;"BMOU4192536;11;45757;45786;1261261;ZONA250427908;45776";"ZONA250427908;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
BMOU4192536;2;10 Jul 24;09 Aug 24; 1.261.261,00 ;ZONA240824866;29 Aug 24;EBK250100275;30 Jan 25;;;;;"BMOU4192536;2;45483;45513;1261261;ZONA240824866;45533";"ZONA240824866;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4192536;3;10 Aug 24;09 Sep 24; 1.261.261,00 ;ZONA240824867;29 Aug 24;EBK250100275;30 Jan 25;;;;;"BMOU4192536;3;45514;45544;1261261;ZONA240824867;45533";"ZONA240824867;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4192536;4;10 Sep 24;09 Oct 24; 1.261.261,00 ;ZONA241125957;20 Nov 24;EBK250100275;30 Jan 25;;;;;"BMOU4192536;4;45545;45574;1261261;ZONA241125957;45616";"ZONA241125957;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4192536;5;10 Oct 24;09 Nov 24; 1.261.261,00 ;ZONA241125958;20 Nov 24;EBK250100275;30 Jan 25;;;;;"BMOU4192536;5;45575;45605;1261261;ZONA241125958;45616";"ZONA241125958;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4192536;6;10 Nov 24;09 Dec 24; 1.261.261,00 ;ZONA241226544;28 Dec 24;EBK250100275;30 Jan 25;;;;;"BMOU4192536;6;45606;45635;1261261;ZONA241226544;45654";"ZONA241226544;45654;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4192536;8;10 Jan 25;09 Feb 25; 1.261.261,00 ;ZONA250427905;29 Apr 25;EBK250600289;26 Jun 25;;;;;"BMOU4192536;8;45667;45697;1261261;ZONA250427905;45776";"ZONA250427905;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
BMOU4192536;9;10 Feb 25;09 Mar 25; 1.261.261,00 ;ZONA250427906;29 Apr 25;EBK250600289;26 Jun 25;;;;;"BMOU4192536;9;45698;45725;1261261;ZONA250427906;45776";"ZONA250427906;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
BMOU4393401;2;10 Jul 24;09 Aug 24; 1.261.261,00 ;ZONA240824866;29 Aug 24;EBK250100275;30 Jan 25;;;;;"BMOU4393401;2;45483;45513;1261261;ZONA240824866;45533";"ZONA240824866;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
BMOU4393401;3;10 Aug 24;28 Aug 24; 798.799,00 ;ZONA240824867;29 Aug 24;EBK250100275;30 Jan 25;;;;;"BMOU4393401;3;45514;45532;798799;ZONA240824867;45533";"ZONA240824867;45533;SKT2501000001;45687;798799";"SKT2501000001;45687;EBK250100275;45687;798799"
BMOU4402838;2;13 Apr 25;12 May 25; 1.261.261,00 ;ZONA250528237;21 May 25;EBK250600289;26 Jun 25;;;;;"BMOU4402838;2;45760;45789;1261261;ZONA250528237;45798";"ZONA250528237;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
BMOU4555375;2;07 Apr 24;24 Apr 24; 756.757,00 ;ZONA241226570;31 Dec 24;EBK250100275;30 Jan 25;;;;;"BMOU4555375;2;45389;45406;756757;ZONA241226570;45657";"ZONA241226570;45657;SKT2501000001;45687;756757";"SKT2501000001;45687;EBK250100275;45687;756757"
BPLU1210002;1;20 Feb 25;19 Mar 25; 1.261.261,00 ;ZONA250528154;16 May 25;EBK250600289;26 Jun 25;;;;;"BPLU1210002;1;45708;45735;1261261;ZONA250528154;45793";"ZONA250528154;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
BPLU1210002;3;20 Apr 25;19 May 25; 1.261.261,00 ;ZONA250528156;16 May 25;EBK250600289;26 Jun 25;;;;;"BPLU1210002;3;45767;45796;1261261;ZONA250528156;45793";"ZONA250528156;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
CAIU2427740;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CAIU2427740;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CAIU2728656;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CAIU2728656;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CAIU2744385;1;22 Apr 25;21 May 25; 675.676,00 ;ZONA250528251;21 May 25;EBK250600289;26 Jun 25;;;;;"CAIU2744385;1;45769;45798;675676;ZONA250528251;45798";"ZONA250528251;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CAIU2857756;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CAIU2857756;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CAIU3002816;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CAIU3002816;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CAXU8184119;2;14 Apr 25;13 May 25; 1.261.261,00 ;ZONA250528239;21 May 25;EBK250600289;26 Jun 25;;;;;"CAXU8184119;2;45761;45790;1261261;ZONA250528239;45798";"ZONA250528239;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
CAXU9096769;2;10 Apr 25;09 May 25; 1.261.261,00 ;ZONA250528173;16 May 25;EBK250600289;26 Jun 25;;;;;"CAXU9096769;2;45757;45786;1261261;ZONA250528173;45793";"ZONA250528173;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
CCLU3910480;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CCLU3910480;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CCLU3996437;2;19 Apr 25;18 May 25; 675.676,00 ;ZONA250528245;21 May 25;EBK250600289;26 Jun 25;;;;;"CCLU3996437;2;45766;45795;675676;ZONA250528245;45798";"ZONA250528245;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CCLU6777900;1;08 Jan 24;07 Feb 24; 1.261.261,00 ;ZONA240122254;11 Jan 24;EBK240500055;21 May 24;;;;;"CCLU6777900;1;45299;45329;1261261;ZONA240122254;45302";"ZONA240122254;45302;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
CCLU6777900;10;08 Oct 24;07 Nov 24; 1.261.261,00 ;ZONA241125956;20 Nov 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;10;45573;45603;1261261;ZONA241125956;45616";"ZONA241125956;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU6777900;11;08 Nov 24;03 Dec 24; 1.093.093,00 ;ZONA241226543;28 Dec 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;11;45604;45629;1093093;ZONA241226543;45654";"ZONA241226543;45654;SKT2501000001;45687;1093093";"SKT2501000001;45687;EBK250100275;45687;1093093"
CCLU6777900;2;08 Feb 24;07 Mar 24; 1.261.261,00 ;ZONA240322927;20 Mar 24;EBK240500055;21 May 24;;;;;"CCLU6777900;2;45330;45358;1261261;ZONA240322927;45371";"ZONA240322927;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
CCLU6777900;4;08 Apr 24;07 May 24; 1.261.261,00 ;ZONA240523407;03 May 24;EBK240500209;20 May 24;;;;;"CCLU6777900;4;45390;45419;1261261;ZONA240523407;45415";"ZONA240523407;45415;SKT2405000001;45432;1261261";"SKT2405000001;45432;EBK240500209;45432;1261261"
CCLU6777900;5;08 May 24;07 Jun 24; 1.261.261,00 ;ZONA240824862;29 Sep 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;5;45420;45450;1261261;ZONA240824862;45564";"ZONA240824862;45564;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU6777900;6;08 Jun 24;07 Jul 24; 1.261.261,00 ;ZONA240824863;29 Aug 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;6;45451;45480;1261261;ZONA240824863;45533";"ZONA240824863;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU6777900;7;08 Jul 24;07 Aug 24; 1.261.261,00 ;ZONA240824864;29 Aug 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;7;45481;45511;1261261;ZONA240824864;45533";"ZONA240824864;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU6777900;8;08 Aug 24;07 Sep 24; 1.261.261,00 ;ZONA240824865;29 Aug 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;8;45512;45542;1261261;ZONA240824865;45533";"ZONA240824865;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU6777900;9;08 Sep 24;07 Oct 24; 1.261.261,00 ;ZONA241125955;20 Nov 24;EBK250100275;30 Jan 25;;;;;"CCLU6777900;9;45543;45572;1261261;ZONA241125955;45616";"ZONA241125955;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
CCLU7032547;2;08 Apr 24;24 Apr 24; 714.715,00 ;ZONA241226570;31 Dec 24;EBK250100275;30 Jan 25;;;;;"CCLU7032547;2;45390;45406;714715;ZONA241226570;45657";"ZONA241226570;45657;SKT2501000001;45687;714715";"SKT2501000001;45687;EBK250100275;45687;714715"
CLHU3457672;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CLHU3457672;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CLHU3586854;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CLHU3586854;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CLHU3602235;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CLHU3602235;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CLHU8013500;1;17 Jan 24;16 Feb 24; 1.261.261,00 ;ZONA240122413;23 Jan 24;EBK240500055;21 May 24;;;;;"CLHU8013500;1;45308;45338;1261261;ZONA240122413;45314";"ZONA240122413;45314;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
CLHU8013500;2;17 Feb 24;16 Mar 24; 1.261.261,00 ;ZONA240322931;20 Mar 24;EBK240500055;21 May 24;;;;;"CLHU8013500;2;45339;45367;1261261;ZONA240322931;45371";"ZONA240322931;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
CLHU8013500;4;17 Apr 24;25 Apr 24; 378.378,00 ;ZONA240523409;03 May 24;EBK240500209;20 May 24;;;;;"CLHU8013500;4;45399;45407;378378;ZONA240523409;45415";"ZONA240523409;45415;SKT2405000001;45432;378378";"SKT2405000001;45432;EBK240500209;45432;378378"
CRXU1091493;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU1091493;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CRXU1143128;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU1143128;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CRXU2132025;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU2132025;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CRXU3003470;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU3003470;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CRXU3034044;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU3034044;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CRXU3112086;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"CRXU3112086;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CSLU1034060;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"CSLU1034060;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CXDU1244424;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"CXDU1244424;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CXDU1285742;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"CXDU1285742;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
CXDU1436704;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"CXDU1436704;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
DFSU6225950;1;20 Feb 25;19 Mar 25; 1.261.261,00 ;ZONA250528154;16 May 25;EBK250600289;26 Jun 25;;;;;"DFSU6225950;1;45708;45735;1261261;ZONA250528154;45793";"ZONA250528154;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
DFSU6225950;3;20 Apr 25;19 May 25; 1.261.261,00 ;ZONA250528156;16 May 25;EBK250600289;26 Jun 25;;;;;"DFSU6225950;3;45767;45796;1261261;ZONA250528156;45793";"ZONA250528156;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
DRYU2524550;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"DRYU2524550;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EGHU9005182;1;13 Jan 24;12 Feb 24; 1.261.261,00 ;ZONA240122359;18 Jan 24;EBK240500055;21 May 24;;;;;"EGHU9005182;1;45304;45334;1261261;ZONA240122359;45309";"ZONA240122359;45309;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
EGHU9005182;2;13 Feb 24;12 Mar 24; 1.261.261,00 ;ZONA240222623;19 Feb 24;EBK240500055;21 May 24;;;;;"EGHU9005182;2;45335;45363;1261261;ZONA240222623;45341";"ZONA240222623;45341;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
EGHU9005182;5;13 May 24;12 Jun 24; 1.261.261,00 ;ZONA240824868;29 Aug 24;EBK250100275;30 Jan 25;;;;;"EGHU9005182;5;45425;45455;1261261;ZONA240824868;45533";"ZONA240824868;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
EGHU9005182;6;13 Jun 24;12 Jul 24; 1.261.261,00 ;ZONA240824869;29 Aug 24;EBK250100275;30 Jan 25;;;;;"EGHU9005182;6;45456;45485;1261261;ZONA240824869;45533";"ZONA240824869;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
EGHU9005182;7;13 Jul 24;12 Aug 24; 1.261.261,00 ;ZONA240824870;29 Aug 24;EBK250100275;30 Jan 25;;;;;"EGHU9005182;7;45486;45516;1261261;ZONA240824870;45533";"ZONA240824870;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
EISU3954039;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"EISU3954039;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EISU3999218;1;22 Apr 25;21 May 25; 675.676,00 ;ZONA250528251;21 May 25;EBK250600289;26 Jun 25;;;;;"EISU3999218;1;45769;45798;675676;ZONA250528251;45798";"ZONA250528251;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EISU9153844;1;15 Jan 24;14 Feb 24; 1.261.261,00 ;ZONA240122360;18 Jan 24;EBK240500055;21 May 24;;;;;"EISU9153844;1;45306;45336;1261261;ZONA240122360;45309";"ZONA240122360;45309;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
EISU9153844;2;15 Feb 24;14 Mar 24; 1.261.261,00 ;ZONA240222624;19 Feb 24;EBK240500055;21 May 24;;;;;"EISU9153844;2;45337;45365;1261261;ZONA240222624;45341";"ZONA240222624;45341;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
EMCU6006826;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"EMCU6006826;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EMCU6009872;1;22 Apr 25;21 May 25; 675.676,00 ;ZONA250528251;21 May 25;EBK250600289;26 Jun 25;;;;;"EMCU6009872;1;45769;45798;675676;ZONA250528251;45798";"ZONA250528251;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EMCU6089440;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"EMCU6089440;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
EMSU9871692;1;07 Jan 25;06 Feb 25; 1.261.261,00 ;ZONA250427901;29 Apr 25;EBK250600289;26 Jun 25;;;;;"EMSU9871692;1;45664;45694;1261261;ZONA250427901;45776";"ZONA250427901;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
EMSU9871692;2;07 Feb 25;06 Mar 25; 1.261.261,00 ;ZONA250427902;29 Apr 25;EBK250600289;26 Jun 25;;;;;"EMSU9871692;2;45695;45722;1261261;ZONA250427902;45776";"ZONA250427902;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
FCIU9298391;2;20 Apr 25;19 May 25; 1.261.261,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"FCIU9298391;2;45767;45796;1261261;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
FORU8416289;2;11 Apr 25;10 May 25; 675.676,00 ;ZONA250528124;21 May 25;EBK250600289;26 Jun 25;;;;;"FORU8416289;2;45758;45787;675676;ZONA250528124;45798";"ZONA250528124;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
FORU8480890;2;11 Apr 25;10 May 25; 675.676,00 ;ZONA250528124;21 May 25;EBK250600289;26 Jun 25;;;;;"FORU8480890;2;45758;45787;675676;ZONA250528124;45798";"ZONA250528124;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
FORU8487209;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"FORU8487209;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
